# time luminosity u_luminosity radius u_radius
-7.779048412368865684e+00 9.570910084525301907e+35 5.653385062465470587e+35 1.008343132455430226e+06 7.526481950883997740e+01
-7.763041695812717080e+00 9.955273102121196975e+35 6.154346288477492543e+35 1.008346241252705688e+06 7.594872468131842425e+01
-7.748561275744577870e+00 1.037353636774077565e+36 6.775344876215613430e+35 1.008349147177011706e+06 7.657338565593082080e+01
-7.734777111356379464e+00 1.094604217452566696e+36 7.777914227682882889e+35 1.008352004347535432e+06 7.717706507686662576e+01
-7.720938997372286394e+00 1.140548682523332629e+36 8.459386748078816268e+35 1.008354937244754052e+06 7.779367232083630768e+01
-7.708023849671008065e+00 1.187185799540033858e+36 8.900495591127414496e+35 1.008357733130616369e+06 7.838573539334433349e+01
-7.693177167064277455e+00 1.244204534853869285e+36 9.448789113309822616e+35 1.008361030531648314e+06 7.906388537923682236e+01
-7.678340744460001588e+00 1.311018807606280276e+36 1.015473786537493059e+36 1.008364406249710708e+06 7.975277086697091988e+01
-7.662749366398202255e+00 1.395783145706333278e+36 1.112238850616436864e+36 1.008368056569896522e+06 8.048120987355981981e+01
-7.646055605699075386e+00 1.522966675361150454e+36 1.216965202649129611e+36 1.008372095351382741e+06 8.127748597804610142e+01
-7.628070518141612411e+00 1.670922198924986348e+36 1.363014406527276706e+36 1.008376717103105388e+06 8.196113328380144480e+01
-7.608597247948637232e+00 1.861771133596687851e+36 1.519057640262572486e+36 1.008381845190080232e+06 8.277903657293984452e+01
-7.587637756252661347e+00 2.070853618889834899e+36 1.693456895589869643e+36 1.008387550615391578e+06 8.377195536670888032e+01
-7.565108258364489302e+00 2.308319213521843255e+36 1.856453466324129602e+36 1.008393944369096542e+06 8.493689063388126215e+01
-7.541377264278708026e+00 2.569625683952645962e+36 1.915761743096018423e+36 1.008400999806897016e+06 8.619715814507858909e+01
-7.516536598443053663e+00 2.927505406108007488e+36 2.007990530290941360e+36 1.008408705436704564e+06 8.762010255799694391e+01
-7.491904296737629920e+00 3.317635629779370476e+36 2.072777815199310835e+36 1.008416706490156939e+06 8.914918190165725775e+01
-7.467294757661875337e+00 3.802117759503705780e+36 2.206774275605584033e+36 1.008425111496672034e+06 9.078704564352251793e+01
-7.442619174107676372e+00 4.163499280390607074e+36 2.236815425780675482e+36 1.008433953308162047e+06 9.254628639955841152e+01
-7.418074294138932601e+00 4.620862498622091497e+36 2.288322781194457175e+36 1.008443463368414203e+06 9.388233089485333949e+01
-7.394019360392121598e+00 5.017134558444708858e+36 2.343015464212746406e+36 1.008453101090015261e+06 9.554613330128491100e+01
-7.370651180332060903e+00 5.427359054401996894e+36 2.418362585227732971e+36 1.008462850353376474e+06 9.739497737854613035e+01
-7.347743033693404868e+00 5.826453675536860616e+36 2.482744978548661296e+36 1.008472844637404778e+06 9.939292273579323478e+01
-7.325592295528622344e+00 6.231987221901559086e+36 2.542580367078908562e+36 1.008482980370274861e+06 1.014771873159909603e+02
-7.304106135154142976e+00 6.668541658223856073e+36 2.507732669591737831e+36 1.008493243482590187e+06 1.036837389499697224e+02
-7.283349679812090471e+00 7.205184295174523112e+36 2.412433052904286799e+36 1.008503617778250366e+06 1.059980543446092014e+02
-7.263210452772909775e+00 7.694674448536323202e+36 2.384039116986127157e+36 1.008514139055099338e+06 1.084025796396836796e+02
-7.243529603380011395e+00 8.146413933298686875e+36 2.413800101957927223e+36 1.008524878731918638e+06 1.108918265781496757e+02
-7.224279226182261482e+00 8.573874613664342833e+36 2.441418847555859429e+36 1.008535829821317922e+06 1.134958347799960592e+02
-7.205276488530216739e+00 8.971272512941463372e+36 2.498623076595818420e+36 1.008547099459704128e+06 1.162375856618307495e+02
-7.186946875706780702e+00 9.363066106701566255e+36 2.548602846502800418e+36 1.008558399969027727e+06 1.190283106996218692e+02
-7.169447198917623609e+00 9.841863868433345228e+36 2.495278477810433491e+36 1.008569638817500207e+06 1.218047237683882997e+02
-7.153269221773371100e+00 1.019675333529023419e+37 2.551833237147854052e+36 1.008580403823565925e+06 1.245084241231710394e+02
-7.137939496344188228e+00 1.055463905470729193e+37 2.620482199739980998e+36 1.008590972571222577e+06 1.271819795185889888e+02
-7.123436224792385474e+00 1.087363127212609816e+37 2.686030180855491698e+36 1.008601295331694069e+06 1.298214690306618877e+02
-7.109791120747104287e+00 1.118129108840429543e+37 2.745814658686220976e+36 1.008611306884784717e+06 1.323945515977384559e+02
-7.096381733805174008e+00 1.149156366463598666e+37 2.803135932551788428e+36 1.008621433854968403e+06 1.350038898788146469e+02
-7.083354971895460039e+00 1.180367183814593017e+37 2.852946237555593342e+36 1.008631548496089876e+06 1.376192971813875374e+02
-7.070450550847453997e+00 1.212656816887566902e+37 2.889960619090457924e+36 1.008641867768105818e+06 1.402716495550735090e+02
-7.057312836579512805e+00 1.245651560869207589e+37 2.931591768213929604e+36 1.008652664907293161e+06 1.430529120149528524e+02
