# time luminosity u_luminosity radius u_radius
-1.417784698964169365e+00 4.485652824448371742e+36 1.258567231168369241e+35 6.379741090220201295e+05 4.815573176686253282e+05
-1.400230001207091846e+00 4.536397924823837425e+36 1.293075628992329162e+35 6.379746831510441843e+05 4.815577455082631204e+05
-1.376135462853198987e+00 4.608066372338118341e+36 1.326595608977867045e+35 6.379755089414181421e+05 4.815583617754200241e+05
-1.340865789063172997e+00 4.720664104627444932e+36 1.410977996571285716e+35 6.379767620434801793e+05 4.815592979268248891e+05
-1.283788869839554536e+00 4.922891453109957403e+36 1.593329688356247613e+35 6.379790517530352809e+05 4.815610141669507138e+05
-1.172051637226104503e+00 5.395625500130337440e+36 1.736665995072882550e+35 6.379911580436270451e+05 4.815702351379836327e+05
-1.011576497643545736e+00 6.328380437028864131e+36 2.202383564768890920e+35 6.379993669508650200e+05 4.815764217089266167e+05
-9.035754040323809022e-01 7.280299837240332616e+36 2.702423606222380964e+35 6.380072888730484992e+05 4.815824282465115539e+05
-8.224270988557691453e-01 8.268925968624782812e+36 3.259335073232040315e+35 6.380152508744858205e+05 4.815884863003793871e+05
-7.709026721513509983e-01 9.087691999704408007e+36 4.040447518979437734e+35 6.380214204792473465e+05 4.815931893135962309e+05
-7.321588944178074598e-01 9.859556211654993052e+36 4.916021500569400597e+35 6.380268837789326208e+05 4.815973592151749181e+05
-7.008808227419649484e-01 1.062672814271384231e+37 5.936506927803426282e+35 6.380320119662405923e+05 4.816012772557855351e+05
-6.747467965979012661e-01 1.140183816776685865e+37 7.193271867285089532e+35 6.380369464127804385e+05 4.816050503233999480e+05
-6.523942084131704178e-01 1.220787127357402804e+37 8.917119818003978311e+35 6.380418510010889731e+05 4.816088033538522432e+05
-6.330697350094851572e-01 1.306313800458050137e+37 1.135633375499509699e+36 6.380467528834985569e+05 4.816125566346364212e+05
-6.162310744221031200e-01 1.397951160680321147e+37 1.445704440173737269e+36 6.380517514502856648e+05 4.816163861597536597e+05
-6.015253079622198129e-01 1.497409407614700116e+37 1.777681529715882450e+36 6.380569117312676972e+05 4.816203416485838825e+05
-5.886124989647214534e-01 1.638611079555427313e+37 3.652679477003113399e+36 6.380622219627926825e+05 4.816244138027101872e+05
-5.788518114186445018e-01 1.770496124398618741e+37 5.016006915256456654e+36 6.380668767651580274e+05 4.816279845598986722e+05
-5.720462305143882986e-01 1.886049222767676171e+37 6.552194211754608160e+36 6.380705441439801361e+05 4.816307985408600653e+05
-5.667477837505430216e-01 1.973745366982840024e+37 7.260995206054740935e+36 6.380736364622453693e+05 4.816331716265054420e+05
-5.624975163082126528e-01 2.064559205588107890e+37 8.071545280154972884e+36 6.380763029090787750e+05 4.816352181414257502e+05
-5.588780013567884453e-01 2.149800198264684361e+37 8.941098814798420751e+36 6.380787179175140336e+05 4.816370718600247637e+05
-5.555878536524687661e-01 2.254643136420292617e+37 1.025380168353673940e+37 6.380810393981754314e+05 4.816388539378013811e+05
-5.523506339195591863e-01 2.408526006568042766e+37 1.335903459363867811e+37 6.380834877279371722e+05 4.816407335798612330e+05
-5.487378559519129340e-01 2.577102335277116443e+37 1.578538385414907306e+37 6.380864035606586840e+05 4.816429723283659550e+05
-5.444138015664066188e-01 2.714863187659593802e+37 1.543558877585025337e+37 6.380901341468712781e+05 4.816458368767125066e+05
-5.408056966007279698e-01 2.898798071307308271e+37 1.571291804647376912e+37 6.380934981746191625e+05 4.816484201897648163e+05
-5.374113193702214630e-01 3.113984987962711398e+37 1.618617037386365726e+37 6.380968586734266719e+05 4.816510009637247422e+05
-5.337588883176067611e-01 3.388299878912152153e+37 1.709463937824007147e+37 6.381006525798673974e+05 4.816539147307996755e+05
-5.284074010160111357e-01 3.818948513585629507e+37 1.852146793755322769e+37 6.381066515554796206e+05 4.816585223600192112e+05
-5.229043372000887757e-01 4.390454240042826100e+37 1.911742322216911923e+37 6.381134247739147395e+05 4.816637250909127179e+05
-5.177502024507703027e-01 5.112488705681494097e+37 2.042917629421134848e+37 6.381204499858766794e+05 4.816691218311748817e+05
-5.126757627040205989e-01 5.669998981372042116e+37 2.151108577433558035e+37 6.381279977914137999e+05 4.816749204032882699e+05
-5.074954364645236637e-01 6.223749713581879758e+37 2.126459476916264314e+37 6.381363666689300444e+05 4.816813501113325474e+05
-5.022736317951057572e-01 6.912697413159934975e+37 2.063000950985555888e+37 6.381455725860979874e+05 4.816884232604812714e+05
-4.977875928179855691e-01 7.528417991313604891e+37 2.086065917067387852e+37 6.381540653875677381e+05 4.816949487690793467e+05
