# time (s)    L (erg/s)   R_phot (cm)
1.886890521401882552E+03  3.21923981070905E+34  1.00784738009193E+06
1.900460614052536812E+03  3.24337306666034E+34  1.00783773446663E+06
1.915622400862752784E+03  3.26418807315512E+34  1.00782793670719E+06
1.933638647956789555E+03  3.28320365678660E+34  1.00781740842350E+06
1.956461721006935022E+03  3.30114879496369E+34  1.00780550458539E+06
1.981606373236459831E+03  3.31771319871578E+34  1.00779384844245E+06
2.009659099028496030E+03  3.33265697133189E+34  1.00778226799068E+06
2.012788717571471580E+03  3.55003807411568E+34  1.00791269196141E+06
2.014379655557832393E+03  3.49600078857466E+34  1.00791284747741E+06
2.017545622150690406E+03  3.39710151195518E+34  1.00791177154092E+06
2.023721155610017831E+03  3.30641055078363E+34  1.00790673005423E+06
2.034082390614262067E+03  3.29263543645543E+34  1.00789617279845E+06
2.045266018605017507E+03  3.32946962035627E+34  1.00788495062054E+06
2.056506602788518194E+03  3.37385756483140E+34  1.00787448097849E+06
2.067561060246353463E+03  3.41289659990163E+34  1.00786500553436E+06
2.079316166212548524E+03  3.44635180365625E+34  1.00785574476303E+06
2.092354069086735763E+03  3.47547420324034E+34  1.00784633129468E+06
2.107485533628008397E+03  3.50128799455634E+34  1.00783637317825E+06
2.126548319777377401E+03  3.52514785870108E+34  1.00782506830910E+06
2.149129015684128717E+03  3.54658270613994E+34  1.00781313377291E+06
2.174124160922138799E+03  3.56515703226510E+34  1.00780138524333E+06
2.201998887487084630E+03  3.58162890755242E+34  1.00778970860077E+06
2.205107587679229255E+03  3.79508710070028E+34  1.00792078220882E+06
2.206714826390740654E+03  3.73773429050601E+34  1.00792097410132E+06
2.209913231426648508E+03  3.63310878578122E+34  1.00791985124867E+06
2.216162649468208201E+03  3.53851831481515E+34  1.00791459341120E+06
2.226103488344826474E+03  3.52441586203574E+34  1.00790427715734E+06
2.236561927269957778E+03  3.56062413352709E+34  1.00789357887686E+06
2.246954842228732559E+03  3.60496714552191E+34  1.00788366339358E+06
2.257346389420763899E+03  3.64539125012813E+34  1.00787449598917E+06
2.268771177956627071E+03  3.68172152344458E+34  1.00786521293422E+06
2.281315523531712188E+03  3.71334009254914E+34  1.00785586695827E+06
2.295623422795815259E+03  3.74126069851962E+34  1.00784612671497E+06
2.313529696938601319E+03  3.76697299414148E+34  1.00783510376408E+06
2.335534023776606773E+03  3.79039840545748E+34  1.00782301420544E+06
2.359810346173419930E+03  3.81076667894885E+34  1.00781115293419E+06
2.362516895973853025E+03  3.99581631101419E+34  1.00793468164266E+06
2.363931231340036902E+03  3.96119530756424E+34  1.00793431620726E+06
2.366745758718742309E+03  3.89008934014556E+34  1.00793255580759E+06
2.372346668202366345E+03  3.81992672278901E+34  1.00792687833178E+06
2.380406398561616243E+03  3.80719624621202E+34  1.00791760541740E+06
2.389380919179722696E+03  3.83331344386711E+34  1.00790753284819E+06
2.398304705018442746E+03  3.86849129380712E+34  1.00789818321977E+06
2.407792743435970351E+03  3.90348902951041E+34  1.00788900226001E+06
2.417827975698307000E+03  3.93495290761979E+34  1.00788006895361E+06
2.428617844867617805E+03  3.96259634398522E+34  1.00787123702988E+06
2.440504395877497700E+03  3.98704566158767E+34  1.00786230031636E+06
2.454117969959567745E+03  4.00912686172765E+34  1.00785293317001E+06
2.470666708749358349E+03  4.02989781079949E+34  1.00784258813549E+06
2.492624628351573392E+03  4.05016274071667E+34  1.00783031541698E+06
2.516715440751270762E+03  4.06891381202742E+34  1.00781835638504E+06
2.543598275448153800E+03  4.08534099150424E+34  1.00780647061555E+06
2.546595816669998840E+03  4.28902001254343E+34  1.00793742970043E+06
2.548278176930983136E+03  4.22639246505356E+34  1.00793757341665E+06
2.551626073850341982E+03  4.11503744509423E+34  1.00793608771828E+06
2.558288388719866361E+03  4.02052334536214E+34  1.00792986107794E+06
2.568069079190582215E+03  4.01253589961110E+34  1.00791916949175E+06
2.577011736175503302E+03  4.04601765127500E+34  1.00790966800035E+06
2.586304273428373563E+03  4.08842052226785E+34  1.00790039740314E+06
2.596160284016114474E+03  4.12998639099392E+34  1.00789129079678E+06
2.606745390710186257E+03  4.16754934812102E+34  1.00788227214263E+06
2.618556953081179927E+03  4.20128449025468E+34  1.00787302018779E+06
2.632495569197578334E+03  4.23218621796239E+34  1.00786304371743E+06
2.651056416856396027E+03  4.26169425566148E+34  1.00785109375120E+06
2.672399998791373491E+03  4.28800061033093E+34  1.00783886550582E+06
2.696065963892061063E+03  4.31005738364421E+34  1.00782680785041E+06
2.722434101921340698E+03  4.32898392011688E+34  1.00781483464754E+06
2.725372757166909196E+03  4.52683678841680E+34  1.00794544865967E+06
2.727111306388845151E+03  4.46173931146520E+34  1.00794553164913E+06
2.730571019340497969E+03  4.34865557215439E+34  1.00794378372239E+06
2.737455848114286709E+03  4.25783261339005E+34  1.00793700827166E+06
2.746212479376458305E+03  4.25167060450530E+34  1.00792722194950E+06
2.754587728015120319E+03  4.28302308849258E+34  1.00791811258779E+06
2.762840603943373026E+03  4.32209252183417E+34  1.00790964257198E+06
2.771694280999562125E+03  4.36199922078269E+34  1.00790115903185E+06
2.781503962066705299E+03  4.40007571412994E+34  1.00789244992429E+06
2.792327720249946196E+03  4.43468086748953E+34  1.00788358606361E+06
2.804744874768687168E+03  4.46613034455810E+34  1.00787424647017E+06
2.820118775411914612E+03  4.49568686041405E+34  1.00786372259415E+06
2.840563515117228235E+03  4.52407687369402E+34  1.00785119952128E+06
2.862955901312951028E+03  4.54896065596047E+34  1.00783901947006E+06
2.887920172430823186E+03  4.56974149679206E+34  1.00782692760157E+06
2.915730273042175213E+03  4.58811134337902E+34  1.00781490604026E+06
2.918829984888638137E+03  4.78566962214847E+34  1.00794997090855E+06
2.920446186634208061E+03  4.71375822972415E+34  1.00795040238926E+06
2.923662428107891628E+03  4.58658167806696E+34  1.00794933814583E+06
