# time luminosity u_luminosity radius u_radius
-8.291167713905451819e+00 5.060711751693268297e+36 4.572260047076867979e+36 1.008588973726310302e+06 1.662261158842238729e+02
-8.290447877778206021e+00 5.115912714244389554e+36 4.738976295759498032e+36 1.008589658881252049e+06 1.657928628192850908e+02
-8.289672852974035777e+00 5.175389339425059857e+36 4.919948756701854554e+36 1.008590411610318813e+06 1.653080603567171067e+02
-8.288878155348356813e+00 5.336329458690310673e+36 5.425765034517199379e+36 1.008591217671208549e+06 1.647667284251260469e+02
-8.288050934628699906e+00 5.435729166982579285e+36 5.739781105965740809e+36 1.008592224978140672e+06 1.639803834298641050e+02
-8.287966815143590793e+00 5.400347678092243978e+36 5.624879567685899258e+36 1.008592326666778652e+06 1.639016132391028862e+02
-8.287939102432574145e+00 5.393663653081463317e+36 5.603125283337328484e+36 1.008592358131672489e+06 1.638782300747706984e+02
-8.287883954137214459e+00 5.380362466484385761e+36 5.559873771289398516e+36 1.008592419006605283e+06 1.638340199211344270e+02
-8.287774209034978412e+00 5.353893094585005760e+36 5.473964158740665915e+36 1.008592541549660033e+06 1.637440863759870524e+02
-8.287735011181212030e+00 5.344438981534525073e+36 5.443333096991599723e+36 1.008592585450155195e+06 1.637118148024507320e+02
-8.287657007444067858e+00 5.325625293768201772e+36 5.382463698094620464e+36 1.008592672002060805e+06 1.636487042710235471e+02
-8.287501780025195330e+00 5.288186062311975795e+36 5.261689653239868056e+36 1.008592843323996058e+06 1.635244716519128190e+02
-8.287192877454799600e+00 5.235702495244201027e+36 5.092575014702383763e+36 1.008593182808161830e+06 1.632790548748387209e+02
-8.286578161336365156e+00 5.196200611908969726e+36 4.963259200885308069e+36 1.008593865456294734e+06 1.627809495868759200e+02
-8.286372187445522286e+00 5.182964649993563157e+36 4.920086891410463913e+36 1.008594098223189358e+06 1.626092722922595328e+02
-8.286301255007856525e+00 5.178406503440704970e+36 4.905238417991671943e+36 1.008594178635839606e+06 1.625498556730319137e+02
-8.286160099451080896e+00 5.169335793902489315e+36 4.875719474220350940e+36 1.008594336995935650e+06 1.624339151537212445e+02
-8.285879199887858704e+00 5.154728666689685746e+36 4.827885196244528322e+36 1.008594651893547038e+06 1.622030158610268984e+02
-8.285777584445895627e+00 5.150988614494288200e+36 4.815443365888540365e+36 1.008594766690401942e+06 1.621180208100214770e+02
-8.285575369722209871e+00 5.143545912781840740e+36 4.790706718733277511e+36 1.008594992716962937e+06 1.619522988459532655e+02
-8.285172962438082322e+00 5.128734930422684571e+36 4.741571913454716720e+36 1.008595449690652778e+06 1.616136932957383578e+02
-8.285028188096475787e+00 5.123406372069401360e+36 4.723924893086764780e+36 1.008595615286292508e+06 1.614906604973098467e+02
-8.284740087168756872e+00 5.112802137942854639e+36 4.688856376145986248e+36 1.008595937175279250e+06 1.612565748471337770e+02
-8.284166766316047870e+00 5.091699561550526765e+36 4.619267923263985623e+36 1.008596581641065655e+06 1.607875083507361467e+02
-8.283964221685891971e+00 5.084244373790867348e+36 4.594748183394672579e+36 1.008596811077498016e+06 1.606203064327752941e+02
-8.283890671402332373e+00 5.081537161434957000e+36 4.585852847494229249e+36 1.008596894807738136e+06 1.605591085682519576e+02
-8.283744306332664564e+00 5.076149811003785998e+36 4.568164825114810600e+36 1.008597059752783272e+06 1.604396243669068838e+02
-8.283453039854066446e+00 5.065428986193364910e+36 4.533020648521051935e+36 1.008597386406749487e+06 1.602045015676213211e+02
-8.282873419564566575e+00 5.044184897109249129e+36 4.463585070410363628e+36 1.008598025562942610e+06 1.597487222894513934e+02
-8.282660588403814472e+00 5.036388146335740216e+36 4.438177224380876447e+36 1.008598260383835062e+06 1.595818202087779412e+02
-8.282237054401775822e+00 5.020872618999674390e+36 4.387741531947523336e+36 1.008598721497159568e+06 1.592588365142844680e+02
-8.281394221732625738e+00 4.989996744542617108e+36 4.287893620360504936e+36 1.008599636026938213e+06 1.586247972081920636e+02
-8.281090036049135961e+00 4.978853404458762324e+36 4.252034732726103895e+36 1.008599979082492879e+06 1.583808193499283732e+02
-8.280976324895163998e+00 4.974687798312051616e+36 4.238654865332214912e+36 1.008600109575800481e+06 1.582869316421081010e+02
-8.280750039717531763e+00 4.966398296450335396e+36 4.212070030571653387e+36 1.008600364149191533e+06 1.581070326350002517e+02
-8.280299732199637219e+00 4.950041023408362047e+36 4.159748587993378873e+36 1.008600842344753211e+06 1.577866551158321613e+02
-8.279403620239463635e+00 4.919709701560261333e+36 4.062627540197661212e+36 1.008601845513300854e+06 1.570846562465787599e+02
-8.279067486524581909e+00 4.908344078130194547e+36 4.026402218558146063e+36 1.008602207462551189e+06 1.568419468735719988e+02
-8.278398580441717058e+00 4.886082932102933245e+36 3.954669924551674608e+36 1.008602910186330322e+06 1.563842101262766278e+02
-8.277067457325756550e+00 4.849350969391374695e+36 3.806261608206434835e+36 1.008604279368332122e+06 1.555210061133844590e+02
-8.276580597259453498e+00 5.070993971455067867e+36 3.572264694091021441e+36 1.008604771808553254e+06 1.552164972646659749e+02
-8.276394306842121296e+00 5.076458155749854167e+36 3.550776513154779715e+36 1.008604959576748079e+06 1.551013084437394127e+02
