# model,burst,bstart,btime,fluence,peakLum,persLum,tau,tdel,conv,t10,t25,t90,fitAlpha,fitDecay,alpha
'xrba005',4,51085.440532545137,103.03303066240187,4.4466260731482845e+39,1.5745603205465e+38,4.6543371963175202e+35,28.240430138649405,9532.4444359140834,12.425214105068303,-6.8749466502194991,-6.3945234514030744,-1.9927570355212083,0.92082052759356547,22.287713788380309,44.891006712197331
'xrba005',5,60959.482838383607,107.83819931948528,4.4085248670069551e+39,1.50693309199289e+38,4.6929197062908e+35,29.254947617991228,9872.1621458125228,11.626060972051226,-7.1302303678094177,-6.5881678161749733,-2.0383010863006348,0.9381241869519843,22.275157295115925,46.901277094001557
'xrba005',6,70482.634786282986,111.45968366938177,4.3706170810354031e+39,1.46768083084349e+38,4.4033064788757601e+35,29.779070416308212,9528.2011316538046,11.376989442107071,-7.0142357841250487,-6.4541964903764892,-1.9144053876661928,0.89259352271810677,24.198141269775242,45.596645382831156
'xrba005',7,80208.494797459934,110.61130504097673,4.4497797170478364e+39,1.4642837838339499e+38,4.1512931082748401e+35,30.388779594327886,9728.7566141760472,11.929005931825564,-7.0353163978434168,-6.5150864436291158,-1.9438746980304131,0.90654019928126317,23.314883545218745,45.673043752048933
'xrba005',8,89759.441473583385,104.63023449319007,4.3944350962360174e+39,1.54196738965989e+38,4.58019545762286e+35,28.498884773466532,9544.1619859370549,12.695110219249511,-6.7868836376874242,-6.3061725858715363,-1.8613967683195369,0.94661847358811868,24.528082689730986,45.463893543601785
'xrba005',9,99414.468409394365,104.52302224405867,4.3517654486952787e+39,1.5048524294464601e+38,4.7899927768445899e+35,28.918220574598255,9653.6260176887299,12.87197746733097,-7.0022542406950379,-6.5160953522135969,-1.9888457843917422,0.91733258070178514,23.320686649602226,46.48276084418395
'xrba005',10,109046.37532128984,100.81603931893187,4.4899059998707679e+39,1.6005264215482899e+38,4.2943659760016204e+35,28.052682788750211,9639.2489681489096,13.924435291920478,-6.6738636251538992,-6.2437347079248866,-1.7984398777334718,0.93941478104779397,26.018090052141964,44.879128629630884
'xrba005',11,118879.28984160612,100.74094807985239,4.4521033761967019e+39,1.59471271368217e+38,4.8359612233476701e+35,27.917902315564135,9826.5340141971537,14.158840979656574,-6.7920619190845173,-6.3627746333077084,-1.8889101247332292,0.94814502968334646,24.310984458529415,46.25911401497607
'xrba05d',0,13538.999666672877,94.324706055782372,4.4825168644196047e+39,1.8751662588834702e+38,4.6128943147052697e+35,23.904636952504834,0,7.8362366865404169,-6.8221834584328462,-6.204254781063355,-1.7981600306538894,1.162221746178782,12.854019696754271,0.0
'xrba05d',1,24653.830876712978,97.509254448596039,4.3925288728301812e+39,1.63992781171925e+38,4.68549118701406e+35,26.784891636328727,11115.020876565848,12.105786465246426,-6.9717967056458292,-6.4451200074872759,-1.9979142869196949,1.0473080401917589,23.169204276141581,47.96330661897597
'xrba05d',2,35596.128822335369,96.131617873499636,4.4524733753406723e+39,1.69419613315098e+38,4.8394252754265303e+35,26.280743346165373,10942.68496675176,14.251218953711938,-6.8455767729974468,-6.3894229202633142,-1.9411967997366446,1.0496552731390771,25.751592104452733,46.621750972380184
'xrba05d',3,46825.866467903987,101.53333005990862,4.3815441621288119e+39,1.60266475422081e+38,4.7444785048058497e+35,27.339118493680537,11229.125017528298,11.50179444887597,-6.8984094878542237,-6.3084508573883795,-1.714435094712826,1.0299412070970839,18.294946924796772,48.592284232033926
'xrba05d',4,57559.51337923012,100.16272311501962,4.401477293499163e+39,1.56888491096144e+38,4.7223410479746297e+35,28.054813088882735,10734.131431829104,13.521187432571473,-6.9609615612571361,-6.501474278360547,-2.0162335334898671,0.95333166940958591,20.777592128784512,46.234516964757269
'xrba05d',5,68850.803151294414,102.26431630621664,4.5014609360536923e+39,1.60198206566079e+38,4.3033037684862699e+35,28.099321662486386,11295.179929726306,12.466376024408525,-6.7768823565420462,-6.2715405321796425,-1.729784220297006,0.94392081348204093,23.397743792317961,47.465335865819036
'xrba05d',6,80055.856117449526,98.666481545078568,4.4909239198799056e+39,1.60460159171736e+38,4.4341775561917402e+35,27.987781783722376,11204.386966071848,13.139563943418471,-6.8054137637518579,-6.2936382702464471,-1.8489755939808674,0.97901207264849877,24.530629978613465,47.226923760057865
'xrba05d',7,91044.564779715962,101.23532206862001,4.4422834496714187e+39,1.56697183005909e+38,4.4729856401896299e+35,28.349478685292649,10988.151821288149,13.304511630533201,-6.974286332479096,-6.5294188930711243,-1.9827808594855014,0.94257620089743299,21.746173279908092,46.832211734396516
'xrba05d',8,102154.30648553246,103.33205062210618,4.3738304018359913e+39,1.5265752927418e+38,4.6373961722039299e+35,28.651258949569328,11106.772848182707,13.241071648159728,-7.0442053295701044,-6.5303911959344987,-2.0009467825293541,0.95876884503098991,23.397637135362704,48.120396568720864
'xrba05d',9,113226.06340545441,102.02896019179025,4.4095947007523982e+39,1.5805285341837901e+38,4.5697625589452001e+35,27.899494412035924,11071.287572717396,12.349465003776798,-6.9027809778926894,-6.3894610929710325,-1.9219015116395894,0.97601177721431154,22.157859036937683,47.560638073240874
